akṣ	akṣṇuhi ākṣiṣuḥ akṣat ākṣāṇa 
kliś	kliṣṭa kliśyamāna kliśyate kliśyante kliśyat kliśnāti kliśyanti kliśyati kleśya kliśnāsi kliśnanti kliśnīyuḥ kliśyāmi kliśyasi kliśyataḥ kliśyāmaḥ kliśyase kliśaḥ akliṣṭa kleṣṭum 
kleday	kledayanti kledayati kledayitvā kledayat kledita kledayet 
kleśay	kleśita kleśayanti kleśayasi kleśayet kleśayati kleśayeyuḥ kleśayiṣyasi kleśayate kleśayitvā kleśayitum 
kvaṇ	kvaṇat kvaṇita kvaṇati kvaṇet 
kvath	kvathita kvathanīya 
kvāthay	kvāthayet kvāthya kvāthayitvā kvāthyamāna kvāthayanti kvāthyante kvāthita kvāthya kvāthanīya 
kṣan	kṣata akṣaṇot kṣaṇyate kṣaṇyete kṣaṇiṣṭhāḥ 
kṣap	kṣapet kṣapitvā kṣapeyuḥ kṣapiṣyāmaḥ kṣapat kṣapitum 
kṣapay	kṣapita kṣapayitvā kṣapayat kṣapayet kṣapayati kṣapayanti kṣapayiṣyati kṣapayāmi kṣapayate kṣapayāmāsa kṣapaya kṣapayeyam kṣapayeyuḥ kṣapayeta kṣapayiṣyāmi kṣapayiṣyanti kṣapayatitarām kṣapayitum kṣapayeḥ kṣapayema kṣapayethāḥ akṣapayetām kṣapayiṣye kṣapayiṣyasi akṣapayan kṣapayitavya kṣapitavat 
kṣam	kṣānta kṣantum kṣamasva kṣamate kṣantavya kṣamyatām kṣama cakṣame kṣamatām kṣameta kṣamamāṇa kṣamante kṣamāmi kṣamet kṣamyate kṣāntavat kṣame kṣamethāḥ kṣamadhvam kṣameyam kṣamase kṣamāmahe kṣamiṣye cakṣāma kṣaṃsyante kṣamaṇīya kṣamat kṣāmya kṣamete kṣameya kṣamemahi kṣamantām kṣamiṣyete kṣamiṣyāmahe akṣamiṣṭa kṣamati kṣamatu akṣamam akṣamaḥ kṣamiṣyāmi kṣamiṣyati kṣaṃsyete kṣaṃsyati cakṣamīthāḥ kṣāmat kṣamita kṣamitavya kṣamya kṣamyamāṇa kṣāntvā 
kṣar	kṣarat kṣaranti kṣarati akṣār akṣaran akṣarat kṣarate akṣaran kṣara kṣarantu kṣarante akṣāḥ kṣarat kṣarita kṣaramāṇa kṣarasi kṣareyam kṣaret kṣaratu akṣaraḥ kṣareta cakṣāra kṣaran kṣaradhyai 
kṣāray	kṣārayati kṣārita 
kṣālay	kṣālayet kṣālita kṣālya kṣālayitvā kṣālayati kṣālanīya kṣālya kṣālayanti kṣālayate 
kṣi	kṣīṇa kṣīyate kṣīyante kṣīyamāṇa kṣeti kṣiṇoti kṣiyat kṣayat kṣita akṣiṇot kṣiṇvat kṣayat kṣayati kṣayati kṣeṣṭa kṣeṣi kṣiyanti kṣiyati kṣiṇāti kṣīyeran akṣīyata kṣayat kṣayaḥ kṣayasi kṣayathaḥ kṣayatha kṣetavya kṣiṇvanti kṣiṇotu kṣīyeta kṣīyāmaḥ kṣayya kṣitaḥ kṣiyasi kṣiyanti kṣayāma kṣayataḥ kṣeṣat kṣiyema kṣiya kṣeṣyat kṣiyat kṣita kṣiṇāmi kṣiṇanti kṣīyase kṣīyete kṣiṇomi kṣiṇoṣi kṣiṇuyāt kṣīyanti kṣīyatām kṣeṣṭhāḥ kṣayasi cikṣiye kṣayet akṣīyanta kṣiṇu kṣīyet kṣiṇām kṣiṇīhi kṣīyat 
kṣip	kṣipet kṣiptvā kṣipta cikṣepa kṣipat kṣepya kṣipati cikṣipuḥ akṣipat kṣipanti kṣipyate kṣeptum kṣipāmi kṣipyamāṇa kṣeptavya kṣepaṇīya kṣipasi kṣipa kṣipyante kṣepsyate kṣipyatām kṣipat kṣiptavat kṣipya akṣipam kṣepsyante kṣipāmaḥ akṣipan kṣepsyāmi kṣepsyasi kṣepsyanti kṣipyati kṣipe kṣipate cikṣepatuḥ kṣeptā cikṣipe kṣipeḥ kṣipeyuḥ kṣepsyati akṣaipsīḥ cikṣepa cikṣepitha cikṣipatuḥ kṣipyanti kṣipyet kṣipyād kṣipāmahe kṣiperan kṣipasva kṣipadhvam kṣepsye kṣepsyase kṣeptāraḥ cikṣipāte kṣepsīḥ kṣipata cikṣipaḥ akṣepi cikṣepuḥ kṣipyat 
kṣu	kṣutvā kṣuvat kṣuta kṣuyāt kṣauti 
kṣud	kṣuṇṇa kṣuttvā kṣodati kṣodanti kṣodante kṣodat kṣodya kṣodanīya 
kṣudh	kṣudhita kṣudhyat kṣudhat 
kṣubh	kṣubhita kṣubdha cukṣubhe cukṣubhuḥ kṣobhya kṣubhyati cukṣubhire kṣubhyat kṣubhyet kṣubhyate kṣobhate akṣubhyata kṣubhyamāṇa kṣubhyasi akṣubhyat akṣubhyata cukṣobha kṣubhnāti 
kṣepay	kṣepya kṣepayet kṣepayāmāsa kṣepayitum kṣepyamāna kṣepayat 
kṣoday	kṣodayitvā akṣodayat kṣodita 
kṣobhay	kṣobhita kṣobhayat kṣobhayati kṣobhayet kṣobhayāmāsa kṣobhyamāṇa kṣobhayanti kṣobhayitvā kṣobhayiṣyāmi kṣobhyate kṣobhayitum kṣobhayeyuḥ kṣobhaya kṣobhayadhvam kṣobhayāmi kṣobhayetām akṣobhayat kṣobhayāmāsuḥ kṣobhyatām kṣobhayiṣye akṣobhyata kṣobhayiṣyat kṣobhya kṣobhya kṣobhayāṇa kṣobhyamāna 
kṣveḍay	kṣveḍayanti kṣveḍita 
khaṇḍay	khaṇḍita khaṇḍayitvā khaṇḍyate khaṇḍayet khaṇḍayati khaṇḍaya khaṇḍayatu khaṇḍayāmāsa khaṇḍayat khaṇḍayitum 
khan	khanet khanat khāta khanitvā khātvā khanati akhanat khanyamāna khanate akhanan khanāmi khanāmasi khanamāna khananti khanata khaniṣyāmi khanyate kheya khanasi acīkhanan cakhāna cakhnuḥ khanyante khanyetām khanyatām khanīḥ khanatāt khanitum 
khād	khādet khādat khādanīya khādati khādita khādanti khādya khādata khāditum khāditavya khādāmi cakhāda khādyate khādeta khāditvā khādasi khādāmaḥ khādeyam khādeyuḥ khāda khādāma khādate khādante khāditavat khādataḥ khādatha khādetām khādantu khādamāna 
khānay	khānayet khānayāmāsa khānita khānayitvā khānayāmi khānayati akhānayat 
khid	khinna khidyate khidyati khidyamāna khidyase khidāmi khidati khida akhidat khidyata khidyante khidat khidyat 
khud	khudata 
kheday	khedita khedayati khedyate khedayat khedya khedayasi khedayet khedayase khedanīya khedyamāna 
khyā	khyāta khyāyate akhyat khyaḥ khyāyante khyāti akhyam khyat khyatam khyāsyāmaḥ akhyan khyan khyan khyāyamāna khyātaḥ akhyaḥ akhyata cakhyathuḥ khyāyet khyata khyam akhyata khyātavya khyeya khyāyat 
khyāpay	khyāpita khyāpayat khyāpayet khyāpayanti khyāpaya khyāpayāmāsa khyāpyate khyāpya khyāpayasi khyāpayati khyāpayāmaḥ khyāpayeyam khyāpayāmāsuḥ khyāpayase khyāpya khyāpyamāna khyāpanīya 
gaṇay	gaṇita gaṇyate gaṇayat gaṇayati gaṇayitvā gaṇayet gaṇayāmi gaṇayanti gaṇayitum agaṇayat gaṇaye gaṇyatām gaṇyamāna gaṇanīya gaṇaya gaṇayata gaṇayāmāsa gaṇayāmāsuḥ gaṇayya gaṇitum gaṇayitavya gaṇyante gaṇayeyam gaṇayante gaṇayasva gaṇayiṣye agaṇyata 
gad	jagāda gadat gadita jagaduḥ jagade gadyate gaditum agadat agādiṣam gada agādīt agadaḥ gadiṣyati jagadatuḥ jagadire agādi gaditvā 
gam	gata gatvā jagāma gacchati gaccha gacchet jagmuḥ gacchat gacchanti gantum agamat gamiṣyāmi gantavya gacchāmi gamyatām agacchat gamya gamiṣyati gaccheta gamiṣyasi jagmatuḥ gahi gacchāmaḥ gamyate gatam gamiṣyanti gacchatu gatavat gacchata gacchantu gantā gaccheyam gamaḥ agacchan agaman gacchadhvam gamiṣyāmaḥ agamam gantāsi gacchasi aganma gacchasva agman gaccheyuḥ gacchatam agan gamat gacchathaḥ gamiṣyatha gamyamāna gacchāvaḥ gamiṣye gacchan ajīgamam gacchema gamiṣyat agaccham gacchataḥ gacchāma gacchāmahe jagamyāt gantam jagmivas gacchat gacchāva gacchate gata gamema gman gantana gacchatha gantāraḥ agmata gaccheḥ gacchatāt ganta gamanīya gacchamāna gantāsmi gamat gamiṣyāvaḥ agaman gantu jaganvas gameyam agacchata agamiṣyaḥ gacchetām agacchanta gaman gamemahi gatya agacchaḥ agacchatām agacchata gamiṣyathaḥ gamiṣyataḥ gacchethāḥ gacchatām jagmire gamyāt gamantu gamet gamyāḥ agacchatam agacchāma agamaḥ ajīgamat agamam agamat gacche gamiṣyāma agāmi agata aganmahi ajagan gacchān gan gmat jagantha jagmathuḥ gamyante gacchāni gamiṣyate gamantu gacchāvahe gamam jagme agasmahi gacchāti gacchāt gamyāḥ gamāni gamāma gamiṣṭam jagamyuḥ ganma ajagan jagama gantave gatvī agacchāva agamatām jaganma jagma gacchatām gamathaḥ gamāma agamiṣyam gacchetha gadhi gacchāsi ajagmiran agan gameyam gamataḥ gamanti ajaganta ajagantana jagamyām gatam gamātha gamyāḥ gacchāḥ jagmyātam gacchātha gantārā ganvahi gamātaḥ gamiṣyatu gamya jagmāna gantavai gantoḥ gamadhyai gatvāya 
gamay	gamita gamayati gamaya gamayanti gamayet gamayitvā gamayāmi gamayiṣyataḥ agamayat gamayiṣyāmi gamayate gamayat gamayāmāsa gamayataḥ gamayeḥ agamayan gamayāmasi gamayiṣyasi gamayiṣyāmaḥ gamayatu agamayam agamayatām gamaye gamayiṣye gamayāṃcakāra gamayāmāsatuḥ gamayāmāsuḥ gamayasva gamayat gamayatāt 
garj	garjat garjanti garjita garjamāna jagarjuḥ garjati garjasi garjāmi agarjat agarjatām jagarja garjitvā garja jagarjatuḥ garjate garjante 
garh	garhita garhya garhaṇīya garhase garhe garhyate garhati jagarhe jagarha garhamāṇa garhate garhāmi garheyam garhet garhitavya garheya garhyante agarhat jagarhe jagarhire garhitum garhat 
garhay	garhayat garhayāmāsa garhita garhayitvā garhayate garhayanti garhayet garhayitum garhayiṣyati garhaye garhayasi garhayati garhayeḥ garhayiṣyāmi garhayiṣyanti garhayase garhayeta 
gal	galita galat galitvā galati galanti agalat galet galantu 
gaveṣ	gaveṣamāṇa gaveṣiṣyante 
gā	agāt gīta jaguḥ gāyat gīyate gāyanti jagau gāyati gāyata gāḥ gāt jigāti geya gāyamāna gīyamāna agām gātum gāyet gāya agāḥ aguḥ guḥ gāyate agāyatām gāta gātum gīyase gānti agāyata jigāsi agāma guḥ agāyat jaganti gīyatām geṣma jigāta gāyasva gāyat gām gāma jigātu gāyasi gāyetām gāyatam gāyatām gāyantu gāsyanti gāyante gāsi gītvā gāya ajigāt gāsyanti agātām agan gātana gāni jagāyāt jigātam jigātana gātam jigāt gātave gāyāmi gāyataḥ gāyatha gāyeyuḥ gāsyati gāsyāmaḥ jagatuḥ gīyete gīyante gāye gāyethāḥ gāyeta gāti gīyeta agāyanta gāyāt agāyi agāta agāsīt agāsiṣuḥ agīyata gāsiṣat gītavat gātavya 
gāpay	gāpayāmāsa gāpayiṣyāma gāpayat 
gālay	gālita gālayet gālayitvā gālanīya gālyate gālya agālayat gālyante gālya gālyamāna gālitvā 
gāh	gāhamāna gāhate jagāhe gāhante agāhata agāhiṣi gāhanti gāhanīya gāhase gāhemahi gāhantām jagāhāte gāhet agāhiṣam gāhati gāḍha gāhyamāna 
guṇay	guṇita guṇayitvā guṇayati guṇanīya 
guṇṭhay	guṇṭhita guṇṭhayet guṇṭhayeta guṇṭhya 
guñj	guñjat guñjita guñjanti 
gup	gupta gopya gopanīya jugopa goptum gupita jugupuḥ goptavya gopsyanti goptā gopitum gopitavya gopsyati jugopa jugupatuḥ goptāraḥ jugupe agopi 
gur	gūrta gurasva juguryāḥ juguryāt gūrta jugurat 
guh	gūḍha guhya gūhamāna gūhet gūhitum gūhanti gūhati gūha gūheta gūhat gūhathaḥ gūhata agūhat aghukṣat jugūha gūhate gūhyate gūhaḥ gūhatām gūhathāḥ guhaḥ gūhitavya guhya gūhya guhat guhamāna guhyamāna gūḍhvī 
gūhay	gūhayet gūhayat gūhita gūhayitvā 
gṛ	gṛṇat gṛṇāna gṛṇanti gṛṇīṣe gṛṇīmasi gṛṇīhi girati jagāra gṛṇāti gṛṇe gīrṇa gṛṇe gṛṇīte gilati gṛṇate gṛṇātu gṛṇata gīrṇa gṛṇīṣaṇi girāmi girate girat gṛṇāmi gṛṇītaḥ agṛṇāt agṛṇan gariṣyati gṛṇīta agṛṇata gṛṇītām gṛṇīta gṛṇanta girasi girāmaḥ giret gīryante gṛṇāti gārīt garan gilita gīrtvā 
gṛdh	gṛddha gṛdhyet gṛdhyat gṛdhnanti gṛdhyati jāgṛdhuḥ gṛdhyanti agṛdhat gṛdhyate gṛdhaḥ gṛdhya gṛdhyamāna 
gopay	gopita gopayet gopaya gopayāmāsa gopayat gopyamāna gopayitvā gopayāmi gopayati gopayanti gopayiṣyataḥ gopyatām gopayāna gopayitavya 
grathay	grathayiṣye 
granth	grathita grathnātu grathitvā jagrantha jagranthuḥ grathitavat 
gras	grasta grasate grasati agrasat grasita graset grasat grasamāna grasyamāna grasyate grasāmi jagrāsa grastum grasanti jagrasāna grasiṣyati grase grasante grasatetarām grasitum grasetām graseyuḥ agrasam grasiṣyāmi agrasīt graseta agrasanta grasiṣyase jagrasuḥ grasyeta agrasyata jagrasīta grasiṣyat grasitvā grasya grasanīya grāsya grastvā 
grah	gṛhītvā gṛhīta grāhya jagrāha gṛhya gṛhṇīyāt gṛhṇāti gṛhāṇa gṛhyate jagṛhuḥ gṛhṇanti gṛhyatām jagṛhe gṛhṇāmi agrahīt grahītum gṛhṇat gṛhyante agṛhṇāt gṛhṇātu gṛhṇa grahītavya grahīṣyāmi gṛhṇīta grahīṣyati gṛhṇīṣva gṛbhīta gṛhṇīta gṛhṇāsi gṛhṇīyām grāham agrabhīt agṛhyata gṛhyamāṇa gṛhītavat grahaṇīya gṛhya gṛhṇīyuḥ gṛhītavya gṛhṇīte grahīṣyanti gṛbhṇāmi agrabham gṛhṇanti gṛhṇantu agrahaiṣyat gṛbhṇīta gṛhītum agrahīṣam agrahīḥ gṛhṇīdhvam agṛhṇata jagṛhatuḥ grahīṣye gṛhṇāna gṛbhṇāti gṛhṇe gṛhṇati agṛhṇatām gṛbhṇīyāt grahīṣyāmaḥ gṛhyeta jagṛbhre gṛhṇīmaḥ agṛhṇītām gṛhṇata gṛhṇate agṛbhṇata gṛhṇat grahīṣyat gṛhṇīṣe gṛhṇantu grahīṣyasi gṛhṇītam ajagrabham agrabhīṣma gṛbhṇanti agṛbhṇan gṛhṇītha gṛhṇate gṛhṇīmahi jagṛhāte jagṛhire agṛhṇat agṛhṇan gṛhyete ajigrahat grahīṣyase gṛhyantām agṛhṇanta jagrabha jagṛbhyāt gṛhṇāhi grabhat gṛhṇīyāḥ gṛhṇīyātām agṛhṇām agṛhṇan gṛhṇāte gṛhṇīthāḥ gṛhṇāmi gṛhṇasi gṛhṇītām agrahīṣyat grahīṣyate grahīṣyāmahe gṛhīta agṛhye agrāhi grahīta agrāhiṣam gṛhṇīma jagṛbhma jagṛbhmā grabhīṣṭa agṛbhran jagṛbhuḥ agṛbhṇāḥ jagṛbhrire agṛbhṇāt gṛbhṇata jagṛbhathuḥ gṛbhṇate jagrabham gṛhāmahi gṛbhṇe gṛhṇītāt gṛbhītvā grahītvā jagṛbhvas 
grāhay	grāhayet grāhayitvā grāhita grāhayāmāsa grāhayitum grāhayiṣyati grāhayeyuḥ agrāhayat grāhayitavya grāhayati grāhaya agrāhyata grāhayāmi grāhayiṣyanti agrāhayata agrāhayetām grāhayat grāhayiṣyat grāhya grāhya 
glā	glāna glāyati glāyate glāyet glāsīḥ glāmi glāti jaglau glāyat 
glāpay	glāpayati glāpayanti glāpayanta 
ghaṭ	ghaṭita ghaṭamāna ghaṭate ghaṭante ghaṭat ghaṭeta ghaṭasva ghaṭāmaḥ ghaṭāmi ghaṭe ghaṭase ghaṭāmahe ghaṭyate ghaṭet ghaṭitārau ghaṭitum ghaṭanīya ghaṭyamāna 
ghaṭay	ghaṭita ghaṭayati ghaṭayet ghaṭaya ghaṭayat ghaṭayitvā aghaṭayat ghaṭayitum ghaṭayāmāsa ghaṭayase ghaṭayate 
ghaṭṭ	ghaṭṭate 
ghaṭṭay	ghaṭṭita ghaṭṭayat ghaṭṭayet ghaṭṭayati ghaṭṭayanti ghaṭṭyamāna 
gharṣay	gharṣayet gharṣita gharṣayitvā gharṣayāmāsa gharṣayat 
ghas	jaghāsa akṣan ghasaḥ jakṣivas jaghāsa aghaḥ aghaḥ jakṣīyāt ghasat kṣan 
ghāṭay	ghāṭita 
ghātay	ghātayet ghātita ghātayitvā ghātayiṣyati ghātayāmi ghātayāmāsa ghātayat ghātayati ghātayanti ghātaya aghātayat ghātayiṣyanti ghātayiṣyāmi ghātayeyam ghātayāmaḥ ghātayema ghātayeyuḥ ghātayethāḥ ghātya ghātayitum ghātayatu aghātayam ghātayiṣyasi ghātayiṣyatha ghātayase ghātayeta ghātayasva aghātayathāḥ ghātayiṣye ghātayiṣyāma ghātayāna ghātitavat 
ghuṣ	ghuṣyatām ghuṣṭa ghuṣyate ghoṣāt ghoṣathaḥ ghoṣataḥ ghuṣyantām ghoṣān ghoṣi ghoṣat ghuṣyamāṇa 
ghūrṇ	ghūrṇita ghūrṇamāna ghūrṇat ghūrṇate ghūrṇati ghūrṇāmi ghūrṇanti jughūrṇa aghūrṇata aghūrṇanta 
ghṛ	jigharmi jigharti 
ghṛṣ	ghṛṣṭa ghṛṣṭvā gharṣati gharṣet ghṛṣya gharṣamāṇa 
ghoṣay	aghoṣayat ghoṣayāmāsa aghoṣayan ghoṣayitvā ghoṣayati ghoṣayantu aghoṣyata ghoṣayat ghoṣita ghoṣyamāṇa ghoṣayasi ghoṣayanti ghoṣayatu ghoṣyate aghoṣayanta ghoṣayaḥ ghoṣayitum 
ghrā	jighrati jighrat ghrāta ghreya jighret ghrātvā jighranti ghrāsyati ghrāti jighranti ghrātavya jighrāmi ajighrata ghrāyate jighrāṇi jighra 
ḍhālay	ḍhālayet ḍhālya ḍhālyate ḍhālita ḍhālanīya ḍhālayitvā 
ḍhaukay	ḍhaukayet ḍhokayeyuḥ aḍhaukayat 
cak	cakita 
cakṣ	caṣṭe cakṣate cakṣase acaṣṭa acakṣata cakṣva cakṣāṇa cakṣāthe cakṣase cacakṣa cakṣata cakṣi cakṣe cakṣate cakṣuḥ cakṣe 
caṅkram	caṅkramyamāṇa caṅkramyante caṅkramyate caṅkramīti caṅkramasva caṅkramata caṅkramya 
caṭ	caṭat caṭita 
car	caret carat carati cacāra caranti carita cara carāmi cīrṇa cariṣyati cariṣyāmi carasi acarat caritvā ceruḥ carate ceratuḥ caritum careyuḥ carataḥ careyam cariṣyanti cartum caritavya carata cariṣyasi cariṣye cariṣyatha caramāṇa carāmasi carema carya caratu carāma carantu cīrtvā carāmaḥ acāriṣam carethāḥ carasva carat caritavat acaran cariṣyāmaḥ careta caryatām cartavya caradhvam caretām acaraḥ carase carete cāraṇīya caryamāṇa carase caratha caratam caratām acaram cariṣyataḥ acīcarat acārṣuḥ acārīḥ acārīt cacāra cerima care careya caratām acarata acaranta cariṣyete cere caryate caritāsi acariṣyāma cariṣyadhvam carāṇi carāva carātha carān caranta carātai cārīt cariṣyat caraṇīya carya caradhyai caritave 
carcay	carcita carcyate carcayiṣyate carcayet 
carv	cūrṇa carvita carvitum carvyatām carvamāṇa 
cal	calita cacāla calat calati calanti celuḥ calet cala calitum acalat calate calatu acalan calante calasi caliṣyāmi celatuḥ cale calitavat celivas 
calay	calayat calayati calayanti calayet calita 
cākaś	cākaśīmi cākaśīti acākaśam cākaśīhi cākaśat 
cāy	acāyat acāyiṣam cāyamāna cāyat cāyitvā 
cāray	cārayet cārya cārita cārayat cārayitvā cārayanti cārayāmāsa cārayitum cāryate cāraya cārayiṣyati cāryatām cārayat cārayethāḥ cārya cārayitavya 
cālay	cālayet cālayat cālayitum cālayati cālya cālita cālayitvā cālyate cālayāmāsa cālayanti cālaya cālayasi acālayam cālayiṣyasi cālayāmāsuḥ cālayate cālyamāna 
ci	cita cinoti cīyate cinute cinvat cinvanti acinot cikyuḥ cayate citvā citya acidhvam cinvat cīyante cinotu acaiṣīt cinvate ciñcinoti cayat cayadhve citavat cinvāna cikāya cinutaḥ cinuyāt cinuyāma acinavam acinvan ceṣyanti acet cikāya cikyuḥ cinuṣe cīyete acinvanta cinuhī cetā cikayām cīyatām citana ciyantu cinavat cayema cayase cayiṣṭam acinvata cetavya ceya cīyamāna cayamāna aciket cayāma cikyatuḥ cikethe cikīhi cinuhi cikitām cita 
cikits	cikitset cikitsitum cikitsya cikitsati cikitsita cikitsatu cikitsāmaḥ cikitsat cikitseta cikitsante acikitsīḥ cikitsa cikitsata cikitsāt cikitsāḥ cikitsat cikitsāmi cikitsyamāna cikitsayitvā 
cikīrṣ	cikīrṣat cikīrṣita cikīrṣasi cikīrṣati cikīrṣāmi cikīrṣanti cikīrṣet cikīrṣamāṇa cikīrṣāmaḥ cikīrṣeta cikīrṣāma cikīrṣeyam cikīrṣat cikīrṣitavya 
cikrīṣ	cikrīṣat 
cicīṣ	cicīṣat 
cit	cikitvas ciketa cetati ceti aceti ciketati cikiddhi ciketat cikite citta cikitre cetat ciketa cikitrire cetat cikitāna cetathaḥ cikituḥ cikitaḥ cetatha cetatu cetatām acetaḥ acetat ciketathaḥ cikite ciketam cettā acet acait ciketasi cetante cittvā citāna 
citrīy	citrīyamāṇa citrīyate 
cintay	cintayat cintayāmāsa acintayat cintayet cintita cintayitvā cintya cintayāna cintyate cintayāmi acintayam cintaya cintyatām cintayati cintayitum cintya cintyamāna cintayanti cintaye cintayamāna cintayate cintanīya cintyante cintayiṣyāmi acintayata acintayan cintayasi cintayāmāsuḥ cintayatām cintayadhvam cintitavat cintayataḥ cintayeyuḥ cintayiṣyati cintayasva cintayatha cintayeyam cintayetām cintayantu acintayāma cintayiṣyasi cintayiṣyāmaḥ cintyase cintayāmāsa cintayāṃbabhūva cintayase cintayante 
ciray	cirayati cirayanti 
cihnay	cihnita cihnayanti 
cud	acūcudam acūcudat codat codāmi coda codata cucoda codasva acūcudaḥ codate codethām codīḥ codita codya 
cumb	cumbita cumbati cumbat cucumba cucumbe cumbāmi cumbanti cucumbatuḥ cucumbuḥ acumbata cumbeta cumbet cumbatu acumbiṣam cumbitvā 
